ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,murder,nibrs_srs_equivalent_annual,0.0,5.0,5.0,5.0,0.0,0.0,true_partial,True,False,True
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,rape,srs_return_a_annual,1.0,5.0,5.0,5.0,1.0,1.0,true_partial,False,True,True
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,robbery,nibrs_srs_equivalent_annual,0.0,5.0,5.0,5.0,0.0,0.0,true_partial,True,False,True
CO0140000,CO,CUSTER,sheriff,5882.0,aggravated_assault,srs_return_a_annual,2.0,5.0,5.0,5.0,2.0,2.0,true_partial,False,True,True
CO0140000,CO,CUSTER,sheriff,5882.0,burglary,srs_return_a_annual,1.0,5.0,5.0,5.0,1.0,1.0,true_partial,False,True,True
CO0140000,CO,CUSTER,sheriff,5882.0,larceny,srs_return_a_annual,9.0,5.0,5.0,5.0,9.0,9.0,true_partial,False,True,True
CO0140000,CO,CUSTER,sheriff,5882.0,motor_vehicle_theft,srs_return_a_annual,3.0,5.0,5.0,5.0,3.0,3.0,true_partial,False,True,True
CO0140000,CO,CUSTER,sheriff,5882.0,murder,nibrs_srs_equivalent_annual,0.0,5.0,5.0,5.0,0.0,0.0,true_partial,True,False,True
CO0140000,CO,CUSTER,sheriff,5882.0,rape,srs_return_a_annual,1.0,5.0,5.0,5.0,1.0,1.0,true_partial,False,True,True
CO0140000,CO,CUSTER,sheriff,5882.0,robbery,nibrs_srs_equivalent_annual,0.0,5.0,5.0,5.0,0.0,0.0,true_partial,True,False,True
CO0220100,CO,CANON CITY,local_police,17582.0,aggravated_assault,srs_return_a_annual,23.0,6.0,6.0,6.0,23.0,23.0,true_partial,False,True,True
CO0220100,CO,CANON CITY,local_police,17582.0,burglary,srs_return_a_annual,19.0,6.0,6.0,6.0,19.0,19.0,true_partial,False,True,True
CO0220100,CO,CANON CITY,local_police,17582.0,larceny,srs_return_a_annual,255.0,6.0,6.0,6.0,255.0,255.0,true_partial,False,True,True
CO0220100,CO,CANON CITY,local_police,17582.0,motor_vehicle_theft,srs_return_a_annual,13.0,6.0,6.0,6.0,13.0,13.0,true_partial,False,True,True
CO0220100,CO,CANON CITY,local_police,17582.0,murder,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0220100,CO,CANON CITY,local_police,17582.0,rape,srs_return_a_annual,7.0,6.0,6.0,6.0,7.0,7.0,true_partial,False,True,True
