priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
391,present_but_no_2024_observation,CA,06,CA036300X,Highland Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
392,present_but_no_2024_observation,CA,06,CA036310X,Twentynine Palms Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
393,present_but_no_2024_observation,CA,06,CA036320X,Hesperia Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
394,present_but_no_2024_observation,CA,06,CA036330X,Apple Valley Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
395,present_but_no_2024_observation,CA,06,CA036350X,Yucaipa Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
396,present_but_no_2024_observation,CA,06,CA036400X,Chino Hills Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
397,present_but_no_2024_observation,CA,06,CA036410X,Yucca Valley Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
398,present_but_no_2024_observation,CA,06,CA0365100,California Department of Forestry and Fire Protection: San Bernardino,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
399,missing_in_repo_master,CA,06,CA0369901,Highway Patrol: Inland Division,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
400,missing_in_repo_master,CA,06,CA0369908,Highway Patrol: Inland Investigative Services Unit,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
401,missing_in_repo_master,CA,06,CA0369965,Highway Patrol: Arrowhead Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
402,missing_in_repo_master,CA,06,CA0369970,Highway Patrol: Morongo Basin Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
403,missing_in_repo_master,CA,06,CA0369975,Highway Patrol: Mountain Pass Port of Entry Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
404,missing_in_repo_master,CA,06,CA0379901,Highway Patrol: Border Division Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
405,missing_in_repo_master,CA,06,CA0379946,Highway Patrol: Otay Mesa Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
406,missing_in_repo_master,CA,06,CA0379951,Highway Patrol: San Onofre Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
